degradation,level,accuracy
baseline,0.0,0.825
gaussian_noise,0.02,0.7791
gaussian_noise,0.05,0.6199
gaussian_noise,0.1,0.4409
gaussian_blur,3.0,0.6176
gaussian_blur,5.0,0.468
gaussian_blur,7.0,0.3416
darken,0.8,0.8136
darken,0.6,0.792
darken,0.4,0.7354
contrast,0.8,0.8138
contrast,0.6,0.7717
contrast,0.4,0.6606
jpeg,50.0,0.7282
jpeg,30.0,0.6833
jpeg,10.0,0.4897
motion_blur,3.0,0.6663
motion_blur,5.0,0.5321
motion_blur,7.0,0.4234
